Overriding config with config/train_23S_pairs_0_18_6_300_abs2_flash.py:
# train 23S rRNA using token library from set {single, pairs, triples, quadruples}

init_from = 'scratch' # 'scratch' to init a new model from scratch, 'resume' to continue training.
device = 'cuda'
compile = True
flash = True  # Turn off scaled_dot_product_attention by default. JHDC

out_dir = '/home/ubuntu/software/jamie_rna_llm/out/' # Example for 23S_97tokens_train.bin, etc. as input.
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = '23S'
wandb_run_name = 'pairs'

# Base name for 23S_97tokens_train.bin, 23S_97tokens_val.bin, meta_23S_97tokens.pkl, for example.
basename = '23S_pairs'
data_dir = '/home/ubuntu/software/jamie_rna_llm/data/'
batch_size = 18
block_size = 384 # context of up to block_size previous characters

# baby GPT model :) Set 0 < n_fixed <= n_layer for finetuning.
n_fixed = 0
n_layer = 18
n_head =  6
n_embd = 300
dropout = 0.2

learning_rate = 5e-5 # with baby networks can afford to go a bit higher
max_iters = 1500000
lr_decay_iters =  50000 # make equal to max_iters usually, but not always.
min_lr = 5e-6 # learning_rate / 10 usually
beta2 = 0.998 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

Thu Feb 22 22:07:33 2024
grad_clip= 1.0
found vocab_size = 25 (inside /home/ubuntu/software/jamie_rna_llm/data/23S_pairs_meta.pkl)
Initializing a new model from scratch
number of parameters: 19.46M
compiling the model... (takes a ~minute)
iter 740: loss 1.1842, time 103.95ms, mfu 2.99%
step 750: train loss 1.3036, val loss 1.3125
saving checkpoint to /home/ubuntu/software/jamie_rna_llm/out/23S_pairs_0_18_6_300_abs2_flash.pt
iter 750: loss 1.3757, time 18387.14ms, mfu 2.70%
iter 760: loss 1.3259, time 103.99ms, mfu 2.73%
iter 770: loss 1.3283, time 103.93ms, mfu 2.76%
iter 780: loss 1.3036, time 103.99ms, mfu 2.78%
iter 790: loss 1.3805, time 103.96ms, mfu 2.81%
iter 800: loss 1.3124, time 104.00ms, mfu 2.83%
iter 810: loss 1.2522, time 103.96ms, mfu 2.85%
iter 820: loss 1.3080, time 103.97ms, mfu 2.86%
iter 830: loss 1.3722, time 103.92ms, mfu 2.88%
iter 840: loss 1.2474, time 103.91ms, mfu 2.89%
iter 850: loss 1.3737, time 103.98ms, mfu 2.91%
iter 860: loss 1.2144, time 103.97ms, mfu 2.92%
iter 870: loss 1.3658, time 103.93ms, mfu 2.93%
iter 880: loss 1.3796, time 103.96ms, mfu 2.94%
iter 890: loss 1.2713, time 103.95ms, mfu 2.94%
iter 900: loss 1.2580, time 103.96ms, mfu 2.95%
iter 910: loss 1.3760, time 103.93ms, mfu 2.96%
iter 920: loss 1.3688, time 103.91ms, mfu 2.96%
iter 930: loss 1.3676, time 104.04ms, mfu 2.97%
iter 940: loss 1.3751, time 103.97ms, mfu 2.97%
iter 950: loss 1.3287, time 103.95ms, mfu 2.98%
iter 960: loss 1.2442, time 103.90ms, mfu 2.98%
iter 970: loss 1.1759, time 103.98ms, mfu 2.99%
iter 980: loss 1.3184, time 103.96ms, mfu 2.99%
iter 990: loss 1.3074, time 103.94ms, mfu 2.99%
step 1000: train loss 1.2991, val loss 1.3051
saving checkpoint to /home/ubuntu/software/jamie_rna_llm/out/23S_pairs_0_18_6_300_abs2_flash.pt
iter 1000: loss 1.3693, time 18130.31ms, mfu 2.70%
iter 1010: loss 1.3022, time 103.94ms, mfu 2.73%
iter 1020: loss 1.3287, time 103.88ms, mfu 2.76%
iter 1030: loss 1.3708, time 104.04ms, mfu 2.78%
iter 1040: loss 1.2382, time 103.98ms, mfu 2.81%
iter 1050: loss 1.3152, time 103.97ms, mfu 2.83%
iter 1060: loss 1.1246, time 103.99ms, mfu 2.85%
iter 1070: loss 1.3701, time 103.98ms, mfu 2.86%
iter 1080: loss 1.3180, time 103.97ms, mfu 2.88%
iter 1090: loss 1.3749, time 103.96ms, mfu 2.89%
iter 1100: loss 1.3263, time 103.97ms, mfu 2.91%
iter 1110: loss 1.3110, time 103.96ms, mfu 2.92%
iter 1120: loss 1.3664, time 103.95ms, mfu 2.93%
iter 1130: loss 1.3737, time 104.10ms, mfu 2.94%
iter 1140: loss 1.2540, time 104.07ms, mfu 2.94%
iter 1150: loss 1.3158, time 103.97ms, mfu 2.95%
iter 1160: loss 1.4621, time 104.08ms, mfu 2.96%
iter 1170: loss 1.2469, time 103.98ms, mfu 2.96%
iter 1180: loss 1.3719, time 103.98ms, mfu 2.97%
iter 1190: loss 1.3031, time 103.95ms, mfu 2.97%
iter 1200: loss 1.3303, time 104.13ms, mfu 2.98%
iter 1210: loss 1.3694, time 104.08ms, mfu 2.98%
iter 1220: loss 1.1722, time 103.95ms, mfu 2.99%
iter 1230: loss 1.3731, time 104.02ms, mfu 2.99%
iter 1240: loss 1.3627, time 104.08ms, mfu 2.99%
step 1250: train loss 1.3069, val loss 1.3137
iter 1250: loss 1.3736, time 16983.64ms, mfu 2.69%
