Overriding config with config/finetune_231RNAs_0_18_6_300_rot_flash.py:
# finetune 23S rRNA using token library from set {single, pairs, triples, quadruples}

init_from = 'resume' # 'scratch' to init a new model from scratch, 'resume' to continue training.
device = 'cuda'
compile = True
flash = True  # Turn off scaled_dot_product_attention by default. JHDC

out_dir = '/home/ubuntu/software/jamie_rna_llm/out/' # Example for 23S_97tokens_train.bin, etc. as input.
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# finetuning might cause some issues with the val loss. Either reset best_val_loss during training or just run a defined
# number of iterations.
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = '231RNAs'
wandb_run_name = 'triples-finetune'

# Base name for 23S_97tokens_train.bin, 23S_97tokens_val.bin, meta_23S_97tokens.pkl, for example.
pretrained = '231RNAs_triples_0_18_6_300_rot_flash'
basename = '231RNAs_Thermo_triples'
data_dir = '/home/ubuntu/software/jamie_rna_llm/data/'
batch_size = 48
block_size = 384 # context of up to block_size previous characters

# baby GPT model :) Set 0 < n_fixed <= n_layer for finetuning.
n_fixed = 0
n_layer = 18
n_head =  6
n_embd = 300
dropout = 0.2

learning_rate = 2e-5 # with baby networks can afford to go a bit higher
max_iters = 1200000 # early 1277500 # 1269250 is stopping val in train_23S_triples_0_6_6_480.log
lr_decay_iters = 50000 # make equal to max_iters usually, but not always.
min_lr = 2e-6 # learning_rate / 10 usually
beta2 = 0.998 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

Sun Mar  3 14:42:26 2024
grad_clip= 1.0
found vocab_size = 97 (inside /home/ubuntu/software/jamie_rna_llm/data/231RNAs_Thermo_triples_meta.pkl)
Resuming training from /home/ubuntu/software/jamie_rna_llm/out/231RNAs_triples_0_18_6_300_rot_flash.pt
number of parameters: 19.48M
compiling the model... (takes a ~minute)
iter 978200: loss 0.6316, time 326.21ms, mfu 2.53%
iter 978210: loss 0.6399, time 326.93ms, mfu 2.53%
iter 978220: loss 0.6300, time 326.15ms, mfu 2.53%
iter 978230: loss 0.6019, time 326.16ms, mfu 2.54%
iter 978240: loss 0.6281, time 327.80ms, mfu 2.54%
step 978250: train loss 0.4558, val loss 0.5641
iter 978250: loss 0.4597, time 50719.42ms, mfu 2.29%
iter 978260: loss 0.4844, time 327.37ms, mfu 2.31%
iter 978270: loss 0.6993, time 327.09ms, mfu 2.34%
iter 978280: loss 0.4159, time 326.15ms, mfu 2.36%
iter 978290: loss 0.5522, time 326.14ms, mfu 2.38%
iter 978300: loss 0.4669, time 325.68ms, mfu 2.40%
iter 978310: loss 0.5118, time 327.07ms, mfu 2.42%
iter 978320: loss 0.5491, time 327.16ms, mfu 2.43%
iter 978330: loss 0.5126, time 327.42ms, mfu 2.44%
iter 978340: loss 0.4898, time 325.33ms, mfu 2.46%
iter 978350: loss 0.6398, time 326.79ms, mfu 2.47%
iter 978360: loss 0.6249, time 327.63ms, mfu 2.48%
iter 978370: loss 0.5249, time 327.23ms, mfu 2.48%
iter 978380: loss 0.4893, time 327.52ms, mfu 2.49%
iter 978390: loss 0.4453, time 325.95ms, mfu 2.50%
iter 978400: loss 0.4569, time 328.37ms, mfu 2.50%
iter 978410: loss 0.4848, time 324.77ms, mfu 2.51%
iter 978420: loss 0.4278, time 325.88ms, mfu 2.52%
iter 978430: loss 0.4797, time 325.90ms, mfu 2.52%
iter 978440: loss 0.3581, time 324.95ms, mfu 2.53%
iter 978450: loss 0.4826, time 326.19ms, mfu 2.53%
iter 978460: loss 0.4755, time 325.10ms, mfu 2.54%
iter 978470: loss 0.6110, time 326.79ms, mfu 2.54%
iter 978480: loss 0.5183, time 325.92ms, mfu 2.54%
iter 978490: loss 0.4164, time 327.56ms, mfu 2.54%
step 978500: train loss 0.4348, val loss 0.5443
iter 978500: loss 0.5678, time 50597.59ms, mfu 2.29%
iter 978510: loss 0.4732, time 327.71ms, mfu 2.32%
iter 978520: loss 0.5008, time 325.41ms, mfu 2.34%
iter 978530: loss 0.4358, time 326.09ms, mfu 2.37%
iter 978540: loss 0.4587, time 326.52ms, mfu 2.39%
iter 978550: loss 0.5864, time 326.30ms, mfu 2.40%
iter 978560: loss 0.5485, time 326.31ms, mfu 2.42%
iter 978570: loss 0.4581, time 327.93ms, mfu 2.43%
iter 978580: loss 0.4504, time 325.18ms, mfu 2.45%
iter 978590: loss 0.4537, time 325.83ms, mfu 2.46%
iter 978600: loss 0.6883, time 325.75ms, mfu 2.47%
iter 978610: loss 0.4970, time 325.46ms, mfu 2.48%
iter 978620: loss 0.4183, time 325.97ms, mfu 2.49%
iter 978630: loss 0.4142, time 326.04ms, mfu 2.50%
iter 978640: loss 0.4589, time 327.33ms, mfu 2.50%
iter 978650: loss 0.4254, time 325.36ms, mfu 2.51%
iter 978660: loss 0.4386, time 327.55ms, mfu 2.52%
iter 978670: loss 0.5619, time 325.70ms, mfu 2.52%
iter 978680: loss 0.4338, time 325.45ms, mfu 2.53%
iter 978690: loss 0.4852, time 327.25ms, mfu 2.53%
iter 978700: loss 0.3884, time 327.61ms, mfu 2.53%
iter 978710: loss 0.5040, time 328.93ms, mfu 2.53%
iter 978720: loss 0.5295, time 327.10ms, mfu 2.54%
iter 978730: loss 0.6699, time 327.98ms, mfu 2.54%
iter 978740: loss 0.5151, time 326.11ms, mfu 2.54%
step 978750: train loss 0.4357, val loss 0.5343
